"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Trustv7.nlogo"
"Sweep_Reliability_x_Transparency"
"03/01/2026 12:45:59:211 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","robot-reliability","robot-transparency","num-humans","num-robots","initial-tasks","initial-trust","robot-autonomy","robot-comm-frequency","collaboration-rate","delegation-sensitivity","max-ticks","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","get-delegation-rate","get-human-idle-rate","get-mean-kalman-gain","get-mean-trust-covariance","get-misallocation-rate","get-judgment-failure-rate"
"23","70","90","3","3","30","50","70","50","50","0.5","2000","2000","69.96375384626403","86","100","65.21739130434783","76.78571428571429","3.4482758620689653","0","0.22957839409619862","2.982327511516482","0","0"
"24","85","90","3","3","30","50","70","50","50","0.5","2000","2000","86.79285537072","81","100","36.363636363658436","83.50515463917526","31.25","33.33333333333333","0.22068626813035377","2.83572665875444","10","1200"
"25","100","90","3","3","30","50","70","50","50","0.5","2000","2000","99.98186946278115","106","100","62.23331146492362","86.1788617886179","11.475409836065573","0","0.22851337565126453","2.962057562924384","0","0"
"27","55","10","3","3","30","50","70","50","50","0.5","2000","2000","55.124641196675974","72","100","89.83333333333333","66.66666666666666","3.8461538461538463","0","0.2867501665939063","4.020443312469372","0","0"
"26","40","10","3","3","30","50","70","50","50","0.5","2000","2000","39.85911695656195","67","100","57.22172475437828","61.46788990825688","2.083333333333333","0","0.2847531737719508","3.9813566871862824","0","0"
"28","70","10","3","3","30","50","70","50","50","0.5","2000","2000","70.22929796160874","77","100","75.02988866259238","71.96261682242991","9.090909090909092","0","0.2853480007392751","3.9929810059000848","75","533.3333333333333"
"29","85","10","3","3","30","50","70","50","50","0.5","2000","2000","85.30729197255208","102","100","52.89256198347107","84.29752066115702","7.792207792207792","0","0.2652062601935592","3.613151297052093","33.33333333333333","750"
"30","100","10","3","3","30","50","70","50","50","0.5","2000","2000","100","94","100","66.66666666666667","80.34188034188034","7.6923076923076925","0","0.28622723918851256","4.010270142512934","20","1500"
"31","40","30","3","3","30","50","70","50","50","0.5","2000","2000","40.22504468194015","51","100","50","49.51456310679612","7.5","0","0.2641136623584502","3.5890551142029747","33.33333333333333","2300"
"34","85","30","3","3","30","50","70","50","50","0.5","2000","2000","86.76676965128962","90","100","83.33333333333333","82.56880733944955","16.3265306122449","0","0.26820233427853674","3.6651920577553327","0","0"
"32","55","30","3","3","30","50","70","50","50","0.5","2000","2000","55.00186694936459","69","100","66.66666666666667","65.09433962264151","4.545454545454546","0","0.2660501977136613","3.62510020992293","50","1800"
"37","55","50","3","3","30","50","70","50","50","0.5","2000","2000","55.12245209679798","82","100","87.46625","72.56637168141593","7.8125","0","0.25268784382256","3.381505451279287","0","0"
"33","70","30","3","3","30","50","70","50","50","0.5","2000","2000","70.02003523746782","87","100","100","84.46601941747572","8.333333333333332","0","0.27024667029951394","3.7032605306567326","25","800"
"35","100","30","3","3","30","50","70","50","50","0.5","2000","2000","99.7587935988635","99","100","66.66666666666667","90.82568807339449","16.666666666666664","0","0.26615799833875636","3.6271235863533193","14.285714285714285","900"
"38","70","50","3","3","30","50","70","50","50","0.5","2000","2000","70.36246449776053","81","100","83.33333333333333","72.97297297297297","6.521739130434782","0","0.25268783784856824","3.381505345517865","0","0"
"36","40","50","3","3","30","50","70","50","50","0.5","2000","2000","40.77068433415628","54","100","83.33333333333333","54.54545454545454","2.7777777777777777","0","0.2526878375403001","3.3815053400603845","0","0"
"39","85","50","3","3","30","50","70","50","50","0.5","2000","2000","86.02304943750032","92","100","66.66666666666667","86.79245283018868","13.636363636363635","0","0.250559963233911","3.3435114245452198","16.666666666666664","1200"
"40","100","50","3","3","30","50","70","50","50","0.5","2000","2000","100","94","100","72.51082251087315","85.45454545454545","0","0","0.2521502659114767","3.3720087220517683","0","0"
"41","40","70","3","3","30","50","70","50","50","0.5","2000","2000","41.18002471162044","66","100","46.82539682539683","51.5625","3.1746031746031744","0","0.23252468083893504","3.0323454507951975","0","0"
"42","55","70","3","3","30","50","70","50","50","0.5","2000","2000","56.193426057397694","91","100","66.66666666666667","72.8","3.389830508474576","0","0.23910908935812492","3.14268811917317","0","0"
"43","70","70","3","3","30","50","70","50","50","0.5","2000","2000","69.4850596353861","94","100","88.77666499383905","79.66101694915254","4.761904761904762","0","0.23816592992003874","3.1265349967277043","0","0"
"46","40","90","3","3","30","50","70","50","50","0.5","2000","2000","40.66951232382353","74","100","66.66666666666667","64.91228070175438","3.6363636363636362","0","0.22891717936102282","2.96886882423995","0","0"
"44","85","70","3","3","30","50","70","50","50","0.5","2000","2000","85.45994025946753","86","83.33333333333334","54.13533834586465","85.14851485148515","10.204081632653061","0","0.23937030747267715","3.1476937979654926","20","900"
"45","100","70","3","3","30","50","70","50","50","0.5","2000","2000","99.9977544788458","86","100","69.6969697160842","80.37383177570094","14.000000000000002","33.33333333333333","0.23112763938745204","3.012462465435302","57.14285714285714","375"
"47","55","90","3","3","30","50","70","50","50","0.5","2000","2000","56.22746564268126","78","100","50.165016501650165","66.10169491525424","1.639344262295082","0","0.2286499252516583","2.964412458397969","0","0"
"48","70","90","3","3","30","50","70","50","50","0.5","2000","2000","71.15171570197445","84","100","100","72.41379310344827","4.25531914893617","0","0.23651897621009202","3.0979153699347983","0","0"
"49","85","90","3","3","30","50","70","50","50","0.5","2000","2000","85.14853595133093","104","100","66.66666666666667","88.13559322033898","6.122448979591836","0","0.23256458315171114","3.0306361669311124","0","0"
"50","100","90","3","3","30","50","70","50","50","0.5","2000","2000","100","131","100","71.96880253871286","91.6083916083916","2.7027027027027026","0","0.22807028386430214","2.954615940236689","0","0"
"52","55","10","3","3","30","50","70","50","50","0.5","2000","2000","50.817246374769276","79","66.66666666666666","83.33333333333333","69.91150442477876","5.454545454545454","0","0.28621953162441843","4.0101180261199865","0","0"
