"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\rkall\OneDrive\Documents\Personal\HRI Paper\Original\Trustv5.nlogo"
"Sweep_Reliability"
"02/23/2026 10:13:00:328 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","robot-reliability","num-humans","num-robots","initial-tasks","initial-trust","robot-autonomy","robot-transparency","robot-comm-frequency","collaboration-rate","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","communication-events","get-robot-utilization"
"45","100","3","3","30","50","70","50","50","50","2000","100","104","100","83.33333333333333","100","1465","100"
"44","95","3","3","30","50","70","50","50","50","2000","99.72991375176714","101","100","66.66666666666667","96.19047619047619","1734","100"
"47","35","3","3","30","50","70","50","50","50","2000","41.99858594423105","83","100","89.98998998989403","63.84615384615384","617","100"
"49","45","3","3","30","50","70","50","50","50","2000","52.47619124836485","98","100","76.95632447406342","72.05882352941177","808","100"
"48","40","3","3","30","50","70","50","50","50","2000","76.01253312515081","49","100","83.33333333333333","53.84615384615385","1315","100"
"50","50","3","3","30","50","70","50","50","50","2000","67.97663022782429","82","100","83.33333333333333","71.9298245614035","1188","100"
"51","55","3","3","30","50","70","50","50","50","2000","67.27778234369235","79","100","66.66666666666667","71.17117117117117","1093","100"
"52","60","3","3","30","50","70","50","50","50","2000","73.2565820011153","72","100","66.66666666666667","73.46938775510205","1430","100"
"54","70","3","3","30","50","70","50","50","50","2000","81.80732408714242","83","100","66.66666666666667","74.10714285714286","1154","100"
"53","65","3","3","30","50","70","50","50","50","2000","75.66809985265776","91","100","83.33333333333333","81.98198198198197","769","100"
"55","75","3","3","30","50","70","50","50","50","2000","82.23635280547818","99","100","83.33333333333333","83.19327731092437","740","100"
"56","80","3","3","30","50","70","50","50","50","2000","88.66281854648703","113","100","83.33333333333333","88.9763779527559","717","100"
"57","85","3","3","30","50","70","50","50","50","2000","98.32404105079627","113","100","91.16444290289041","94.16666666666667","752","100"
"58","90","3","3","30","50","70","50","50","50","2000","94.01190521376861","131","100","56.65664345576764","94.24460431654677","1061","100"
"60","100","3","3","30","50","70","50","50","50","2000","100","120","100","83.33333333333333","100","853","100"
"61","30","3","3","30","50","70","50","50","50","2000","40.14312397834678","77","100","71.31033280670222","67.54385964912281","1224","100"
"59","95","3","3","30","50","70","50","50","50","2000","99.44727352388601","98","100","87.61764249452624","97.02970297029702","576","100"
"63","40","3","3","30","50","70","50","50","50","2000","63.346996623083015","74","100","66.66666666666667","67.27272727272727","1026","100"
"62","35","3","3","30","50","70","50","50","50","2000","44.07160790492375","75","100","83.33333333333333","65.21739130434783","913","100"
"66","55","3","3","30","50","70","50","50","50","2000","69.21206599377619","103","100","50.943396226415096","82.39999999999999","982","100"
"64","45","3","3","30","50","70","50","50","50","2000","80.62511457060705","84","100","100","70.58823529411765","1461","100"
"68","65","3","3","30","50","70","50","50","50","2000","82.48185111415619","91","100","83.33333333333333","79.82456140350878","1235","100"
"65","50","3","3","30","50","70","50","50","50","2000","78.10440597562574","74","100","100","67.27272727272727","1607","100"
"67","60","3","3","30","50","70","50","50","50","2000","69.55038068130193","96","100","100","80.67226890756302","698","100"
"69","70","3","3","30","50","70","50","50","50","2000","86.94310275918362","80","100","83.33333333333333","80","1261","100"
"70","75","3","3","30","50","70","50","50","50","2000","87.97264913988596","76","100","66.66666666666667","80","1154","100"
"71","80","3","3","30","50","70","50","50","50","2000","91.34681263444763","89","100","100","87.25490196078431","1437","100"
"72","85","3","3","30","50","70","50","50","50","2000","98.50408659342871","109","100","100","93.96551724137932","1195","100"
"73","90","3","3","30","50","70","50","50","50","2000","97.61757439006344","103","100","66.66666666666667","89.56521739130436","1172","100"
"75","100","3","3","30","50","70","50","50","50","2000","100","105","100","83.33333333333333","100","1167","100"
"76","30","3","3","30","50","70","50","50","50","2000","37.321497237815514","76","100","73.80943194793429","64.95726495726495","688","100"
"78","40","3","3","30","50","70","50","50","50","2000","49.26055678812679","72","100","66.66666666666667","63.1578947368421","1539","100"
"74","95","3","3","30","50","70","50","50","50","2000","99.40380340163996","98","100","100","98","948","100"
"77","35","3","3","30","50","70","50","50","50","2000","38.93618436709417","56","100","66.66666666666667","55.44554455445545","1218","100"
"79","45","3","3","30","50","70","50","50","50","2000","59.5187658003822","95","100","78.09235765625","68.84057971014492","1385","100"
"81","55","3","3","30","50","70","50","50","50","2000","71.00370076098663","71","100","83.33333333333333","67.61904761904762","1082","100"
"80","50","3","3","30","50","70","50","50","50","2000","63.267590579497586","100","100","70.26143790849675","74.07407407407408","842","100"
