"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\Users\rkall\OneDrive\Documents\Personal\HRI Paper\Original\Trustv5.nlogo"
"Sweep_Reliability_x_Transparency"
"02/22/2026 23:56:19:480 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","robot-reliability","robot-transparency","num-humans","num-robots","initial-tasks","initial-trust","robot-autonomy","robot-comm-frequency","collaboration-rate","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","communication-events","get-robot-utilization"
"47","55","90","3","3","30","50","70","50","50","2000","84.14459091016226","92","100","100","75.40983606557377","1103","100"
"48","70","90","3","3","30","50","70","50","50","2000","99.403","100","100","50","81.9672131147541","1226","100"
"49","85","90","3","3","30","50","70","50","50","2000","99.7015","100","100","77.75217482512392","84.7457627118644","1194","100"
"52","55","10","3","3","30","50","70","50","50","2000","49.009596400049155","102","100","73.34845003512483","76.11940298507463","877","100"
"53","70","10","3","3","30","50","70","50","50","2000","67.01971139460262","110","83.33333333333334","64.1099837285613","87.3015873015873","710","66.66666666666666"
"51","40","10","3","3","30","50","70","50","50","2000","35.983400100214716","91","100","57.00483091784967","63.63636363636363","883","100"
"50","100","90","3","3","30","50","70","50","50","2000","100","134","100","87.56218905472637","100","689","100"
"54","85","10","3","3","30","50","70","50","50","2000","89.5998994168519","115","100","59.52380952380952","92.74193548387096","1241","100"
"55","100","10","3","3","30","50","70","50","50","2000","100","107","100","50","100","1286","100"
"57","55","30","3","3","30","50","70","50","50","2000","59.19377793027769","89","100","75.64351272960636","74.78991596638656","1120","100"
"56","40","30","3","3","30","50","70","50","50","2000","37.522014124525505","62","83.33333333333334","66.66666666666667","56.36363636363636","1230","66.66666666666666"
"58","70","30","3","3","30","50","70","50","50","2000","75.99493330797948","115","100","74.05131809646456","85.82089552238806","1115","100"
"59","85","30","3","3","30","50","70","50","50","2000","91.12855658041991","106","100","50","91.37931034482759","1067","100"
"60","100","30","3","3","30","50","70","50","50","2000","100","114","100","83.33333333333333","100","800","100"
"61","40","50","3","3","30","50","70","50","50","2000","51.78882892988829","61","100","66.66666666666667","58.0952380952381","1385","100"
"63","70","50","3","3","30","50","70","50","50","2000","88.55293517907212","90","100","83.33333333333333","82.56880733944955","1208","100"
"62","55","50","3","3","30","50","70","50","50","2000","68.77951559704142","97","100","72.68284012311373","74.61538461538461","948","100"
"66","40","70","3","3","30","50","70","50","50","2000","84.57837590301456","65","100","66.66666666666667","60.18518518518518","1611","100"
"65","100","50","3","3","30","50","70","50","50","2000","100","117","100","66.66666666666667","100","779","100"
"64","85","50","3","3","30","50","70","50","50","2000","97.24007080305552","100","100","66.66666666666667","90.09009009009009","1169","100"
"67","55","70","3","3","30","50","70","50","50","2000","71.6802212615521","72","100","83.33333333333333","67.9245283018868","1250","100"
"68","70","70","3","3","30","50","70","50","50","2000","89.97879880715722","91","100","83.33333333333333","81.98198198198197","984","100"
"69","85","70","3","3","30","50","70","50","50","2000","93.95313797317506","103","100","83.33333333333333","87.28813559322035","658","100"
"71","40","90","3","3","30","50","70","50","50","2000","75.48386806875948","51","100","83.33333333333333","62.19512195121951","1599","100"
"70","100","70","3","3","30","50","70","50","50","2000","100","115","100","83.33333333333333","100","1031","100"
"72","55","90","3","3","30","50","70","50","50","2000","87.11382098158641","66","100","66.66666666666667","65.34653465346535","1476","100"
"73","70","90","3","3","30","50","70","50","50","2000","83.79769043122208","99","100","69.38633193863319","82.5","959","100"
"75","100","90","3","3","30","50","70","50","50","2000","100","104","100","50","100","989","100"
"74","85","90","3","3","30","50","70","50","50","2000","94.45381433339928","111","100","100","90.2439024390244","1048","100"
"76","40","10","3","3","30","50","70","50","50","2000","34.015748918581174","95","100","50","73.64341085271317","1026","100"
"77","55","10","3","3","30","50","70","50","50","2000","51.946616864919996","76","100","83.33333333333333","69.72477064220183","844","100"
"78","70","10","3","3","30","50","70","50","50","2000","75.6103410780633","90","100","66.66666666666667","78.94736842105263","1005","100"
"79","85","10","3","3","30","50","70","50","50","2000","88.62949609691225","112","100","59.63734153796489","91.05691056910568","620","100"
"80","100","10","3","3","30","50","70","50","50","2000","100","133","100","71.99546485260771","100","688","100"
"81","40","30","3","3","30","50","70","50","50","2000","41.00917951964463","71","100","92.25134388502518","59.166666666666664","399","100"
"82","55","30","3","3","30","50","70","50","50","2000","65.85254856164197","84","100","66.66666666666667","71.7948717948718","816","100"
"84","85","30","3","3","30","50","70","50","50","2000","96.10314170959062","113","100","83.33333333333333","89.68253968253968","1256","100"
"83","70","30","3","3","30","50","70","50","50","2000","74.72964263176031","97","100","74.62951643639313","82.20338983050848","640","100"
"85","100","30","3","3","30","50","70","50","50","2000","100","123","100","70.41343669250647","100","1027","100"
"87","55","50","3","3","30","50","70","50","50","2000","67.5840609782496","88","100","70.88950019165553","74.57627118644068","1054","100"
"86","40","50","3","3","30","50","70","50","50","2000","57.40860862898766","73","100","83.33333333333333","69.52380952380952","945","100"
"88","70","50","3","3","30","50","70","50","50","2000","75.04227931852415","89","100","66.66666666666667","78.76106194690266","585","100"
"89","85","50","3","3","30","50","70","50","50","2000","97.51194342969018","115","100","56.33022797621658","91.26984126984127","826","100"
"90","100","50","3","3","30","50","70","50","50","2000","100","124","100","76.83435066041089","100","996","100"
"91","40","70","3","3","30","50","70","50","50","2000","49.16163444381982","80","100","74.79454261915119","65.57377049180327","960","100"
"92","55","70","3","3","30","50","70","50","50","2000","79.28882608327031","96","83.33333333333334","88.42592589061083","80","1292","100"
"93","70","70","3","3","30","50","70","50","50","2000","84.99059775378961","100","100","92.0930489561885","83.33333333333334","1007","100"
"94","85","70","3","3","30","50","70","50","50","2000","94.9355459860728","109","100","83.33333333333333","94.78260869565217","834","100"
"96","40","90","3","3","30","50","70","50","50","2000","61.78479395390025","80","100","89.33333333333333","64.51612903225806","1269","100"
"95","100","70","3","3","30","50","70","50","50","2000","100","132","100","58.45771144278607","100","829","100"
"97","55","90","3","3","30","50","70","50","50","2000","69.63578956514756","85","100","83.33333333333333","74.56140350877193","1094","100"
"98","70","90","3","3","30","50","70","50","50","2000","87.53049061212931","100","100","66.66666666666667","84.7457627118644","1071","100"
"99","85","90","3","3","30","50","70","50","50","2000","98.75512382122066","96","100","66.66666666666667","92.3076923076923","1259","100"
"101","40","10","3","3","30","50","70","50","50","2000","39.85112912472256","75","100","76.62746299319728","70.75471698113208","764","100"
"100","100","90","3","3","30","50","70","50","50","2000","100","118","100","66.66666666666667","100","1135","100"
"103","70","10","3","3","30","50","70","50","50","2000","73.83546871070615","89","100","74.22586474977004","78.0701754385965","1330","100"
"102","55","10","3","3","30","50","70","50","50","2000","54.77434156284655","77","100","83.33333333333333","71.29629629629629","1254","100"
"104","85","10","3","3","30","50","70","50","50","2000","85.73907816975287","99","100","50","89.1891891891892","912","100"
"105","100","10","3","3","30","50","70","50","50","2000","100","115","100","66.66666666666667","100","930","100"
"108","70","30","3","3","30","50","70","50","50","2000","83.76585394972847","87","100","84.56790123456791","80.55555555555556","1259","100"
"106","40","30","3","3","30","50","70","50","50","2000","36.15512261602342","67","100","83.33333333333333","58.77192982456141","838","100"
"107","55","30","3","3","30","50","70","50","50","2000","56.19447782360064","114","100","74.5514268572682","81.42857142857143","932","100"
"109","85","30","3","3","30","50","70","50","50","2000","90.2847614860143","102","100","50","87.17948717948718","780","100"
"110","100","30","3","3","30","50","70","50","50","2000","100","126","100","88.53818123976824","100","1164","100"
"111","40","50","3","3","30","50","70","50","50","2000","54.78437790852039","77","100","100","64.16666666666667","1098","100"
"112","55","50","3","3","30","50","70","50","50","2000","63.548096235591295","105","100","83.33333333333333","82.03125","749","100"
"113","70","50","3","3","30","50","70","50","50","2000","82.39625398223195","98","100","67.90123456790123","83.76068376068376","1015","100"
"115","100","50","3","3","30","50","70","50","50","2000","100","113","100","50","100","827","100"
"114","85","50","3","3","30","50","70","50","50","2000","98.34625402054178","109","100","64.60674157303372","94.78260869565217","1299","100"
"116","40","70","3","3","30","50","70","50","50","2000","55.14555114269039","60","100","66.66666666666667","58.252427184466015","1443","100"
"117","55","70","3","3","30","50","70","50","50","2000","75.85343461338802","81","100","83.33333333333333","71.05263157894737","1531","100"
"118","70","70","3","3","30","50","70","50","50","2000","84.4130597910257","98","100","76.19047619047619","80.32786885245902","1046","100"
"119","85","70","3","3","30","50","70","50","50","2000","98.24168514573819","111","50","90.25341130604289","90.98360655737704","829","66.66666666666666"
"120","100","70","3","3","30","50","70","50","50","2000","100","141","100","51.79650729059559","100","544","100"
"121","40","90","3","3","30","50","70","50","50","2000","82.66765127989403","76","100","66.66666666666667","64.40677966101694","904","100"
"122","55","90","3","3","30","50","70","50","50","2000","82.12829172347823","87","100","71.23830983826967","75.65217391304347","1047","100"
"123","70","90","3","3","30","50","70","50","50","2000","85.30718879269638","96","100","73.8095238095238","78.04878048780488","1433","100"
"124","85","90","3","3","30","50","70","50","50","2000","95.58517237018503","95","100","66.66666666666667","89.62264150943396","881","100"
"125","100","90","3","3","30","50","70","50","50","2000","100","98","100","83.33333333333333","100","1429","100"
"127","55","10","3","3","30","50","70","50","50","2000","56.142748690922936","93","100","74.11632150442125","76.85950413223141","834","100"
"126","40","10","3","3","30","50","70","50","50","2000","37.892790552957216","108","83.33333333333334","60.238921462414794","72.97297297297297","936","66.66666666666666"
"129","85","10","3","3","30","50","70","50","50","2000","88.48701705171823","115","100","90.55712835007178","90.5511811023622","618","100"
"128","70","10","3","3","30","50","70","50","50","2000","73.3588933477448","87","100","83.33333333333333","78.37837837837837","952","100"
"130","100","10","3","3","30","50","70","50","50","2000","100","106","100","66.66666666666667","100","1199","100"
"131","40","30","3","3","30","50","70","50","50","2000","44.891971274464744","105","100","74.17410428134882","75","863","100"
"132","55","30","3","3","30","50","70","50","50","2000","61.74296904954206","77","100","100","73.33333333333333","1296","100"
"134","85","30","3","3","30","50","70","50","50","2000","92.08983352463763","104","83.33333333333334","50","87.39495798319328","1336","100"
"133","70","30","3","3","30","50","70","50","50","2000","72.84674146991698","88","100","83.33333333333333","77.87610619469027","720","100"
"136","40","50","3","3","30","50","70","50","50","2000","45.82237415169371","78","100","50","64.46280991735537","1030","100"
"135","100","30","3","3","30","50","70","50","50","2000","100","113","100","83.33333333333333","100","931","100"
"137","55","50","3","3","30","50","70","50","50","2000","70.04245308831754","92","100","88.26291079812206","76.66666666666667","870","100"
"138","70","50","3","3","30","50","70","50","50","2000","86.37825234731808","76","100","66.66666666666667","74.50980392156863","1714","100"
"140","100","50","3","3","30","50","70","50","50","2000","100","123","100","62.75720164609053","100","608","100"
"141","40","70","3","3","30","50","70","50","50","2000","49.41625654788572","84","100","56.72503796984274","71.7948717948718","996","100"
"139","85","50","3","3","30","50","70","50","50","2000","93.02916967738302","100","100","83.33333333333333","93.45794392523365","1293","100"
"142","55","70","3","3","30","50","70","50","50","2000","64.48406697273992","105","100","72.00112164048643","72.91666666666666","599","100"
"144","85","70","3","3","30","50","70","50","50","2000","99.84999999999998","106","100","100","92.17391304347827","1114","100"
