"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Trustv7.nlogo"
"Sweep_Reliability"
"03/01/2026 12:08:08:982 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","robot-reliability","num-humans","num-robots","initial-tasks","initial-trust","robot-autonomy","robot-transparency","robot-comm-frequency","collaboration-rate","delegation-sensitivity","max-ticks","[step]","average-trust","total-tasks-completed","team-efficiency","get-average-stress","get-task-success-rate","communication-events","get-robot-utilization","get-delegation-rate","get-human-idle-rate","get-monitoring-stress","get-active-stress","get-mean-kalman-gain","get-mean-trust-covariance","get-misallocation-rate","get-judgment-failure-rate"
"7","60","3","3","30","50","70","50","50","50","0.5","2000","2000","59.76286907389613","74","100","50","69.1588785046729","1410","100","9.090909090909092","0","0","50","0.2484320886191883","3.3055175035714153","50","950"
"2","35","3","3","30","50","70","50","50","50","0.5","2000","2000","34.74774246063718","75","100","56.62650602409634","63.02521008403361","864","100","1.5625","0","0","56.62650602409634","0.2572971959790984","3.4681059951100366","0","0"
"8","65","3","3","30","50","70","50","50","50","0.5","2000","2000","66.405811728303","61","100","83.33333333333333","67.03296703296702","1156","100","19.35483870967742","0","0","83.33333333333333","0.2526878378485682","3.3815053455178643","16.666666666666664","1300"
"1","30","3","3","30","50","70","50","50","50","0.5","2000","2000","29.72992329645","84","100","58.04954670208491","60.431654676258994","817","100","1.2987012987012987","0","0","58.04954670208491","0.2439258142913683","3.226451085602387","0","0"
"6","55","3","3","30","50","70","50","50","50","0.5","2000","2000","55.54306532676693","68","100","83.33333333333333","66.66666666666666","1197","100","5.555555555555555","0","0","83.33333333333333","0.2526878378485682","3.381505345517864","50","1300"
"5","50","3","3","30","50","70","50","50","50","0.5","2000","2000","52.88125886943427","66","100","100","62.264150943396224","955","100","6.25","0","0","100","0.254815712428998","3.419499265874132","33.33333333333333","1400"
"4","45","3","3","30","50","70","50","50","50","0.5","2000","2000","44.65742607048574","63","100","90.19534515138442","63.63636363636363","1082","100","6.521739130434782","0","0","90.19534515138442","0.2529649518722786","3.3864167160887084","0","0"
"9","70","3","3","30","50","70","50","50","50","0.5","2000","2000","70.43953289773275","92","100","76.69512432367462","72.44094488188976","459","100","4.225352112676056","0","0","76.69512432367462","0.25080824624760895","3.347912675184553","33.33333333333333","2100"
"3","40","3","3","30","50","70","50","50","50","0.5","2000","2000","40.66277152350202","68","100","65.41218637992831","66.66666666666666","1316","100","7.142857142857142","0","0","65.41218637992831","0.24498000069710932","3.246877901756486","0","0"
"10","75","3","3","30","50","70","50","50","50","0.5","2000","2000","76.31349489333803","91","100","74.3668271056675","77.11864406779661","1374","100","3.4482758620689653","0","0","74.3668271056675","0.2536541398175625","3.398678686030411","0","0"
"11","80","3","3","30","50","70","50","50","50","0.5","2000","2000","81.16758619520255","97","100","94.33391906101046","82.20338983050848","1136","100","4.25531914893617","0","0","94.33391906101046","0.2544603438330848","3.413108825542661","0","0"
"12","85","3","3","30","50","70","50","50","50","0.5","2000","2000","85.43503268616935","92","100","83.33333333333333","84.40366972477065","1230","100","14.000000000000002","0","0","83.33333333333333","0.252687837848564","3.3815053455177897","42.857142857142854","466.6666666666667"
